Setting,Model,Acc_mean,Acc_std,F1_macro_mean,F1_macro_std,F1_micro_mean,F1_micro_std,Recall_macro_mean,Recall_macro_std
vanilla,GIN,0.2783625730994152,0.06701118190991157,0.2541037618173071,0.05090673363751017,0.2783625730994152,0.06701118190991157,0.576128364389234,0.03087917973229454
vanilla,GCN,0.2557504873294347,0.14802190168215468,0.22526562207009038,0.10982007351680798,0.2557504873294347,0.14802190168215468,0.5484886128364389,0.04956327149467214
vanilla,TopKPool,0.44483430799220275,0.0583155595897914,0.3710110422948142,0.03612794299576515,0.44483430799220275,0.0583155595897914,0.6551552795031056,0.021424060096625876
vanilla,GCN2,0.05847953216374269,0.0,0.05524861878453038,6.938893903907228e-18,0.05847953216374269,0.0,0.5,0.0
reweight,GIN,0.642495126705653,0.05377573769624633,0.48102772357036316,0.03271036047151897,0.642495126705653,0.05377573769624633,0.6788405797101449,0.03400595750084216
reweight,GCN,0.6397660818713449,0.025457821001660035,0.4787583062553463,0.015826957372271733,0.6397660818713449,0.025457821001660035,0.6773913043478261,0.04113323002091396
reweight,TopKPool,0.6721247563352826,0.028633082303280384,0.5008370964984312,0.014783171339195333,0.6721247563352826,0.028633082303280384,0.7039544513457556,0.02936934554149109
reweight,GCN2,0.6549707602339182,0.04823921433522784,0.4690587607098533,0.03583557070636797,0.6549707602339182,0.04823921433522784,0.5979296066252588,0.07147593472760715
upsample,GIN,0.642495126705653,0.08683198616121116,0.4780297916265469,0.04769338692014776,0.642495126705653,0.08683198616121116,0.6632091097308489,0.030314447815339648
upsample,GCN,0.642495126705653,0.012847763784237104,0.47597110276262766,0.011603157459731952,0.642495126705653,0.012847763784237104,0.6569565217391304,0.03088090100453289
upsample,TopKPool,0.7235867446393762,0.04830848287266288,0.5340986060091429,0.02716373933639806,0.7235867446393762,0.04830848287266288,0.7250310559006211,0.008673292755758196
upsample,GCN2,0.7048732943469785,0.042324891058002634,0.504560087526013,0.03336525133065933,0.7048732943469785,0.042324891058002634,0.6463146997929606,0.05657573316495528
